order_id,product_category,origin_city,destination_city,shipment_date,weight_kg,shipping_cost,status
2dba92bb-3359-434a-b435-75e70f51dc25,Auto Components,Pune,Pune,2026-01-19,339.14,4545.35,Delayed
6829cfcb-3534-47e7-a0ea-edf02f571d3c,Auto Components,Pune,Bangalore,2026-01-19,9.95,3526.41,Delivered
0cb9484e-2c24-4a1c-93f9-42f226820d6c,Auto Components,Chennai,Delhi,2026-01-19,461.74,210.36,In Transit
86ce60da-d06a-434b-8fff-1ce9e65083b9,Medical Supplies,Pune,Pune,2026-01-19,140.43,2274.01,Damaged
2ab9e3c5-ed03-4932-971e-7300a6f9ab8c,Auto Components,Delhi,Kolkata,2026-01-19,372.46,4845.93,Delivered
49436f0f-1c72-4ab4-aa86-a86a45d16121,Medical Supplies,Bangalore,Delhi,2026-01-19,63.92,4662.27,Delivered
b4164283-0f76-4303-82ac-494fe8aae3c4,Electronics,Chennai,Pune,2026-01-19,423.5,778.58,Damaged
28287c14-c784-4d07-bd69-85301f6f4f64,Food Containers,Kolkata,Chennai,2026-01-19,242.37,1797.58,In Transit
31af6b2e-d186-4f20-8760-67fa9ef0a615,Food Containers,Chennai,Delhi,2026-01-19,211.83,3759.32,Damaged
89d874d4-740b-42d0-bf92-7fba36d09cf5,Medical Supplies,Bangalore,Chennai,2026-01-19,190.2,2833.25,Delayed
8c14371d-423b-46d7-8969-d2a22684d929,Electronics,Bangalore,Pune,2026-01-19,468.94,3214.4,Delayed
393508c6-9c6c-429c-867a-ee891283438d,Auto Components,Kolkata,Delhi,2026-01-19,332.86,4348.16,Delivered
26a94023-a243-4d7d-9441-cd2d131752aa,Electronics,Delhi,Mumbai,2026-01-19,385.56,2286.79,Delayed
65cc288c-1d5b-423c-bfc5-3e3b3e3c29b6,Food Containers,Bangalore,Bangalore,2026-01-19,182.17,3089.06,In Transit
4100a13e-46d7-4ec0-bf85-cad76265608d,Electronics,Kolkata,Delhi,2026-01-19,211.18,2676.65,Delivered
fc26b0fd-4394-400b-bb01-2fe71fc7bc90,Electronics,Pune,Chennai,2026-01-19,112.85,742.36,Damaged
97ac9767-8c31-4f39-8c2d-5f5bd456e419,Electronics,Delhi,Kolkata,2026-01-19,198.81,3566.12,Damaged
a4201f3f-eec9-4da1-8c67-2533d01dbb65,Electronics,Bangalore,Pune,2026-01-19,298.19,3662.51,Damaged
81cf8d06-4f1f-4a9e-8e04-e9baa84e53e3,Food Containers,Bangalore,Mumbai,2026-01-19,473.76,4548.01,Damaged
cf464b63-756d-412d-8c06-f03ddf9a3610,Food Containers,Pune,Delhi,2026-01-19,357.24,1644.46,In Transit
7e8e2067-d9e8-4d50-ad07-5e262ce7f7f1,Medical Supplies,Bangalore,Mumbai,2026-01-19,493.2,4579.51,Delivered
f5ec4b79-29e7-4f8b-8d39-b0250b9e9007,Medical Supplies,Pune,Bangalore,2026-01-19,52.0,1723.85,Delivered
db94cec0-c24b-4af9-8484-9a497c75f64e,Electronics,Pune,Pune,2026-01-19,214.8,1157.09,Delayed
f514d904-c178-452e-8a42-f7b7703a1095,Food Containers,Mumbai,Mumbai,2026-01-19,296.44,3265.99,Delayed
c7a64b82-6204-4a34-b8f3-2bb766ff0688,Food Containers,Bangalore,Delhi,2026-01-19,189.24,1542.7,Damaged
340c72df-80db-48c9-86e7-8d345297fe2d,Auto Components,Delhi,Chennai,2026-01-19,161.58,4563.02,Delayed
be97b633-df8e-41b7-acb9-41413a05a305,Auto Components,Kolkata,Bangalore,2026-01-19,384.96,2081.22,Damaged
f24d7199-45bf-4ba5-a2df-b72898fbb3ae,Medical Supplies,Mumbai,Mumbai,2026-01-19,370.67,4245.58,Delayed
215775b3-f74b-4b9b-8d06-df0bde8d97c6,Medical Supplies,Mumbai,Delhi,2026-01-19,113.31,531.55,Delayed
beb3cf60-89a5-42b7-81a7-f65153612edb,Medical Supplies,Pune,Chennai,2026-01-19,299.8,2294.26,Delayed
c949b45c-9d15-430b-b066-3dfcf747b13e,Auto Components,Pune,Chennai,2026-01-19,290.06,896.72,Delivered
54aaecba-93b0-4a2e-be7f-61e24c0afd1f,Food Containers,Pune,Pune,2026-01-19,210.64,2668.27,Delayed
e5bdc106-8404-4d7e-8625-189c6d49e000,Food Containers,Bangalore,Kolkata,2026-01-19,249.65,4196.38,Damaged
eb5af42e-681b-46f3-80b6-195e101085c6,Medical Supplies,Chennai,Kolkata,2026-01-19,286.11,200.96,Delayed
14f04587-497c-4a09-b0ae-3aae9e8570c1,Medical Supplies,Delhi,Pune,2026-01-19,153.0,3512.23,In Transit
ebf6ad09-3992-4721-b4ae-33db861a8db2,Medical Supplies,Delhi,Chennai,2026-01-19,91.44,3645.18,Damaged
5f92cee8-e74b-4b44-99c0-e1092fecb336,Electronics,Delhi,Bangalore,2026-01-19,458.62,3089.22,Delayed
87a667ba-75dc-43ef-ac3d-e13c3210b69f,Electronics,Mumbai,Pune,2026-01-19,22.23,3212.66,Delayed
0d60fd5a-6e3c-40cc-b3f9-69dba4c03b37,Electronics,Kolkata,Bangalore,2026-01-19,426.99,4950.81,Delivered
9901759c-5c8c-43f7-8411-d3cd94e45df9,Food Containers,Chennai,Pune,2026-01-19,38.2,1192.91,Delivered
74eda4a9-2c99-4f17-9400-40a5915246da,Auto Components,Bangalore,Chennai,2026-01-19,411.51,591.83,Delayed
5526d014-402c-4c8e-846a-1a28583ee79b,Auto Components,Pune,Delhi,2026-01-19,86.4,3387.71,Delayed
b5c2fc10-e1b8-4225-8395-403b977ce4ab,Auto Components,Chennai,Pune,2026-01-19,236.04,3308.95,Damaged
fe4fa5e8-efdb-49e4-8ff0-9c3460a0f72e,Electronics,Chennai,Bangalore,2026-01-19,194.04,1761.24,Delivered
14620ba8-7343-4159-8ba5-9e9c141fa815,Medical Supplies,Mumbai,Mumbai,2026-01-19,273.04,3732.13,Delayed
0acd92c4-d0db-4351-9ea0-91d550f53b6a,Food Containers,Pune,Delhi,2026-01-19,73.4,300.79,Delivered
491819ae-5c6f-455e-b02c-ceb22d5105b4,Electronics,Mumbai,Kolkata,2026-01-19,339.21,1265.23,Damaged
2e97e85f-6d78-4953-bb4d-c34729bb1fc7,Electronics,Mumbai,Pune,2026-01-19,483.4,162.96,Damaged
8dff9269-6bb4-435d-9e3b-b6063f423d39,Medical Supplies,Mumbai,Chennai,2026-01-19,52.78,2642.59,Damaged
ccfd9e4e-3a3b-4c41-bb42-9df4c6f174f6,Food Containers,Kolkata,Bangalore,2026-01-19,440.56,1967.27,Delivered
19bf9463-41ea-4e7c-99fc-7b0cc13a7e9d,Auto Components,Bangalore,Kolkata,2026-01-19,242.6,3934.55,Damaged
c9f50364-72ae-40b2-a703-bab68eb9425b,Auto Components,Delhi,Kolkata,2026-01-19,214.0,2028.96,Damaged
7e37498c-d129-4772-afe9-589df1a5cb5f,Food Containers,Bangalore,Bangalore,2026-01-19,7.25,3810.09,Delayed
5da4c433-93f3-4d53-8311-6104f92361f3,Electronics,Delhi,Pune,2026-01-19,243.61,1733.58,Damaged
b51aeac8-d863-4d2c-9622-3eef26252fba,Electronics,Pune,Delhi,2026-01-19,347.65,301.19,Damaged
